球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
卡尔迪维尔-琼斯,119,3466,48.40%,322,665,0.00%,0,0,75.90%,170,224,999,147,51,223,0,426,814
约翰-沃尔,37,1432,41.90%,286,682,26.70%,35,131,82.20%,203,247,159,364,64,41,145,84,810
布鲁斯-鲍文,135,4191,39.40%,286,726,42.20%,168,398,55.30%,68,123,366,177,108,64,84,363,808
安东尼奥-麦克戴斯,100,2361,48.70%,348,715,0.00%,0,3,68.90%,111,161,680,90,51,80,102,329,807
哈皮-海尔斯顿,69,2020,44.50%,307,690,0.00%,0,0,73.30%,187,255,559,121,0,0,0,185,801
唐-奥尔,47,1482,42.70%,320,749,0.00%,0,0,75.20%,155,206,161,130,0,0,0,154,795
安托万-贾米森,46,1607,44.80%,303,677,34.10%,60,176,70.60%,125,177,330,58,36,33,70,139,791
奥蒂斯-索普,78,2252,56.90%,321,564,33.30%,1,3,63.10%,147,233,547,128,33,15,117,241,790
阿尔尼-李森,61,0,38.50%,263,684,0.00%,0,0,67.70%,264,390,0,86,0,0,0,255,790
凯文-格里文,70,1625,42.00%,310,738,0.00%,0,0,78.40%,156,199,145,102,38,18,0,181,785
凯文-达克沃斯,67,1956,44.70%,323,723,0.00%,0,1,70.20%,139,198,393,84,30,34,155,246,785
布拉德-多赫迪,41,1600,51.90%,275,530,0.00%,0,2,75.60%,232,307,419,137,27,40,98,113,782
贾马尔-马什本,52,1849,38.90%,277,712,36.90%,58,157,78.00%,170,218,242,165,49,9,113,148,782
肯尼-史密斯,68,2043,45.70%,268,586,44.80%,117,261,84.70%,127,150,147,305,54,9,104,123,780
穆奇-布雷洛克,54,2161,37.00%,280,757,35.00%,125,357,68.30%,84,123,266,357,116,24,162,102,769
哈里-盖拉汀,64,0,39.00%,242,620,0.00%,0,0,76.10%,284,373,0,100,0,0,0,235,768
汤姆-霍金斯,96,2099,45.90%,311,677,0.00%,0,0,61.70%,145,235,537,106,0,0,0,310,767
卡隆-巴特勒,65,2043,39.90%,274,686,28.60%,50,175,83.80%,160,191,346,103,73,23,101,177,758
P.J.-布朗,106,2882,43.40%,285,656,0.00%,0,2,75.10%,187,249,700,103,67,83,97,327,757
杰克-马琳,51,1679,45.00%,292,649,0.00%,0,0,82.40%,173,210,283,120,0,0,0,151,757
比利·坎宁安,39,1217,42.70%,289,677,0.00%,0,0,68.60%,179,261,356,125,0,0,0,151,757
约翰-帕克森,119,2617,49.40%,306,620,36.90%,45,122,86.70%,91,105,109,306,65,3,71,249,748
柯克-辛里奇,71,2009,42.80%,268,626,40.70%,92,226,74.40%,119,160,186,277,74,17,97,191,747
肖恩-利文斯顿,113,2244,50.60%,307,607,40.00%,2,5,81.10%,129,159,314,280,47,26,123,226,745
肯德里克-帕金斯,143,3369,50.20%,290,578,0.00%,0,4,66.20%,155,234,843,102,53,156,218,453,735
雷杰-刘易斯,42,1278,51.00%,293,575,13.30%,2,15,77.70%,146,188,175,109,51,19,57,110,734
克莱格-霍奇斯,101,2056,43.60%,292,669,36.30%,90,248,78.40%,58,74,111,203,95,8,102,206,732
安托万-凯尔,107,1832,51.40%,301,586,33.30%,1,3,74.00%,128,173,275,103,27,92,86,383,731
蒂姆-托马斯,55,1545,46.80%,252,538,43.60%,88,202,77.20%,139,180,280,76,32,29,60,203,731
里克-福克斯,111,2527,44.40%,267,601,36.00%,86,239,80.10%,109,136,353,246,84,27,151,320,729
布莱恩-肖,127,2442,39.50%,276,699,31.80%,77,242,72.50%,95,131,359,375,66,23,154,264,724
Charles0Johnson,85,1723,39.80%,321,806,0.00%,0,0,74.80%,80,107,207,142,0,0,0,201,722
科特-兰比斯,139,2565,57.40%,284,495,0.00%,0,1,70.20%,151,215,764,119,85,68,141,373,719
乔-考德威尔,45,1477,44.90%,293,652,0.00%,0,0,56.00%,130,232,215,119,0,0,0,140,716
杰里-斯隆,52,1888,42.70%,294,689,0.00%,0,0,67.70%,128,189,412,109,0,0,0,187,716
拉尔夫-桑普森,38,1307,49.70%,283,569,37.50%,3,8,70.30%,142,202,400,109,35,57,123,157,711
杰拉德-威尔金斯,55,1686,44.20%,292,661,27.80%,22,79,80.20%,105,131,153,190,52,10,91,137,711
约翰-约翰逊,73,2002,45.00%,295,656,0.00%,0,0,69.90%,121,173,359,275,43,12,0,195,711
路易斯-威廉姆斯,58,1451,38.50%,242,628,26.20%,49,187,80.50%,177,220,132,156,52,4,87,94,710
阿隆-麦基,75,2139,43.70%,269,615,38.50%,55,143,80.10%,117,146,273,237,81,11,101,191,710
安德鲁-拜纳姆,74,1783,50.20%,276,550,0.00%,0,0,72.00%,154,214,497,48,24,110,78,199,706
C.J.迈克鲁姆,38,1252,43.70%,266,609,40.10%,79,197,79.50%,93,117,138,89,32,15,69,85,704
汤姆-亨德森,80,2364,41.50%,270,650,0.00%,0,0,75.20%,161,214,181,431,79,18,0,168,701
罗德-斯特里克兰,52,1597,44.60%,275,617,28.60%,10,35,70.60%,139,197,207,390,56,11,125,135,699
安东尼奥-丹尼尔斯,80,1857,46.10%,230,499,35.30%,42,119,86.30%,189,219,164,230,49,10,76,80,691
伯纳德-金,28,934,55.90%,269,481,0.00%,0,0,72.90%,148,203,121,65,24,6,62,94,687
哈里森-巴恩斯,64,2040,41.90%,261,623,35.50%,75,211,75.60%,90,119,327,85,42,23,61,137,687
道格-科林斯,32,1218,52.60%,282,536,0.00%,0,0,77.40%,123,159,131,111,34,4,0,95,687
Mahdi0Abdul-Rahman,58,1576,41.30%,268,649,0.00%,0,0,73.80%,149,202,169,242,0,0,0,176,685
肖恩-巴蒂尔,112,3031,39.80%,226,568,35.60%,139,390,77.80%,91,117,341,117,77,55,79,287,682
泰隆·科宾,81,2226,44.90%,273,608,29.50%,26,88,79.00%,109,138,404,114,80,15,77,202,681
罗伊-希波特,54,1704,48.60%,258,531,50.00%,1,2,76.50%,163,213,449,58,13,106,103,195,680
埃里克-斯诺,103,2470,40.40%,250,619,20.00%,10,50,78.20%,165,211,268,373,91,9,155,231,675
K.C.-琼斯,105,2499,36.70%,241,656,0.00%,0,0,69.10%,186,269,320,396,0,0,0,335,668
托尼-阿伦,112,2149,44.70%,256,573,10.60%,5,47,71.60%,151,211,333,105,137,47,114,257,668
奈特-阿奇博尔德,47,1642,42.30%,235,556,0.00%,0,0,82.60%,195,236,77,306,34,2,0,118,667
大卫-韦斯利,55,1934,39.80%,239,601,40.80%,78,191,79.60%,109,137,121,205,62,5,104,164,665
格伦-戴维斯,96,1814,47.20%,258,547,0.00%,0,6,71.60%,149,208,354,66,56,35,86,228,665
科瑞-基德尔斯,54,1734,42.40%,250,590,33.70%,66,196,74.20%,98,132,195,116,87,26,52,116,664
贾米尔-尼尔森,44,1426,44.50%,237,532,37.20%,73,196,79.20%,114,144,154,204,37,3,90,130,661
德里克-科尔曼,39,1457,47.20%,230,487,35.10%,26,74,80.60%,170,211,386,108,30,59,82,111,656
里切尔-盖兰,42,1345,42.90%,231,539,0.00%,0,0,80.30%,192,239,149,214,0,0,0,157,654
保罗-西摩尔,66,0,32.90%,208,632,0.00%,0,0,82.40%,234,284,0,257,0,0,0,185,650
朱尼奥-布里奇曼,49,1359,45.40%,264,581,0.00%,0,0,81.40%,118,145,172,128,37,11,0,148,650
艾德-麦考雷,47,0,43.70%,218,499,0.00%,0,0,72.90%,212,291,321,138,0,0,0,141,648
迈尔-康特斯,85,1462,42.60%,255,599,0.00%,0,0,77.50%,138,178,519,100,0,0,0,263,648
迈克-米切尔,35,1163,50.20%,273,544,33.30%,1,3,76.20%,99,130,224,47,19,28,75,90,646
尼克-安德森,49,1766,41.30%,227,549,33.30%,89,267,67.80%,101,149,238,110,72,29,76,108,644
罗德尼-罗杰斯,82,1717,39.20%,223,569,31.00%,63,203,73.40%,135,184,318,117,54,41,105,226,644
史蒂夫-米克斯,89,1442,49.40%,244,494,0.00%,0,0,86.40%,153,177,248,137,65,13,0,143,642
弗农-麦克斯维尔,49,1648,37.20%,240,645,30.10%,84,279,69.60%,78,112,143,165,44,5,88,111,642
马特-巴恩斯,95,2141,39.90%,233,584,29.70%,84,283,75.20%,88,117,390,132,85,30,105,264,638
布莱恩-温特斯,41,1352,49.00%,269,549,0.00%,0,0,80.80%,80,99,118,192,52,16,0,123,637
汤姆-梅切里,39,1321,42.80%,248,580,0.00%,0,0,80.90%,140,173,344,78,0,0,0,153,636
兰斯-史蒂芬森,57,1753,44.80%,251,560,33.00%,60,182,67.00%,71,106,321,182,44,7,100,145,633
杰森-理查德森,37,1261,46.50%,231,497,40.40%,95,235,72.40%,76,105,200,50,40,13,43,96,633
Gerald0Henderson_,88,1570,44.30%,259,584,15.60%,5,32,69.70%,108,155,137,229,78,7,105,182,631
杰克-科尔曼,63,0,38.50%,249,646,0.00%,0,0,64.60%,133,206,0,216,0,0,0,224,631
丹尼-曼宁,43,1191,50.10%,247,493,25.00%,3,12,76.60%,131,171,202,80,42,31,76,152,628
埃里克-戈登,40,1348,41.80%,215,514,38.00%,115,303,80.20%,81,101,117,73,25,25,67,75,626
罗尼尔-谢尔顿,52,1611,48.50%,268,553,0.00%,0,0,66.70%,88,132,413,101,52,43,110,228,624
杰克-特威曼,34,1095,44.10%,245,556,0.00%,0,0,82.40%,131,159,255,62,0,0,0,131,621
霍特-罗德-威廉姆斯,57,1669,47.90%,230,480,0.00%,0,1,72.20%,161,223,358,100,47,70,85,180,621
大卫-汤普森,27,971,46.20%,249,539,0.00%,0,0,74.50%,120,161,115,101,24,27,0,83,619
拉里-休斯,49,1632,36.10%,212,587,28.70%,35,122,78.20%,158,202,219,139,80,25,98,133,617
阿尔顿-李斯特,87,1797,50.50%,241,477,0.00%,0,2,64.00%,135,211,506,70,39,142,126,319,617
阿维达斯-萨博尼斯,51,1467,45.20%,222,491,31.90%,15,47,80.20%,158,197,378,97,48,48,82,175,617
克莱格-埃卢,76,1843,40.90%,234,572,34.30%,57,166,73.40%,91,124,222,222,77,13,93,154,616
查尔斯-史密斯,66,1616,48.10%,247,514,0.00%,0,5,70.50%,122,173,262,77,45,77,103,240,616
迈克-里奥丹,84,1648,44.60%,253,567,0.00%,0,0,77.50%,107,138,199,111,0,0,0,203,613
里克-马洪,106,2429,47.20%,249,528,0.00%,0,3,75.00%,114,152,579,72,42,63,93,348,612
乔恩-麦克格洛克林,55,1528,48.90%,266,544,0.00%,0,0,82.40%,75,91,102,123,0,0,0,121,607
帕特里克-米尔斯,90,1443,42.90%,216,503,38.00%,115,303,80.00%,60,75,134,152,50,4,66,111,607
莫里斯-威廉姆斯,62,1512,40.90%,220,538,33.00%,74,224,80.90%,93,115,109,160,30,8,95,138,607
赛达勒-斯瑞特,70,1534,45.20%,251,555,26.60%,21,79,81.60%,84,103,110,252,73,7,84,162,607
特鲁克-罗宾逊,74,1736,44.80%,241,538,0.00%,0,0,61.60%,122,198,505,77,47,46,0,204,604
Gar0Heard,59,1825,41.90%,247,589,0.00%,0,0,65.10%,108,166,537,96,0,0,0,174,602
吉姆-金,73,1452,43.60%,246,564,0.00%,0,0,72.80%,110,151,246,182,0,0,0,194,602
特里斯坦-汤普森,78,2323,56.40%,224,397,0.00%,0,1,62.00%,150,242,666,61,24,63,64,167,598
法特-利夫,48,1441,41.40%,227,548,40.90%,18,44,77.50%,124,160,276,297,89,9,81,118,596
拉里·科斯特洛,52,1471,41.60%,198,476,0.00%,0,0,85.20%,196,230,171,218,0,0,0,210,592
弗兰克-塞尔维,52,1608,40.30%,219,544,0.00%,0,0,78.60%,151,192,226,189,0,0,0,147,589
马库斯-坎比,79,2245,44.30%,239,540,42.90%,3,7,57.80%,108,187,712,95,61,151,79,259,589
乔-福尔克斯,31,0,25.80%,192,745,0.00%,0,0,78.20%,204,261,0,11,0,0,0,120,588
杰夫-格林,60,1638,39.30%,198,504,33.10%,54,163,76.70%,138,180,208,81,29,33,73,124,588
菲尔-史密斯,49,1210,45.30%,234,517,0.00%,0,0,71.90%,120,167,150,143,49,18,0,99,588
本-戈登,29,1097,40.30%,186,461,38.40%,63,164,84.00%,152,181,94,92,23,4,72,86,587
扬尼斯-阿德托昆博,26,940,50.40%,214,425,32.70%,17,52,65.00%,141,217,245,112,33,36,67,87,586
德文-哈里斯,64,1517,45.00%,216,480,25.70%,29,113,70.80%,119,168,124,167,48,10,103,168,580
乔金-诺阿,60,2098,46.50%,228,490,0.00%,0,0,67.60%,123,182,659,167,57,106,106,218,579
丹-劳恩德菲尔德,38,1304,47.10%,225,478,0.00%,0,0,72.40%,126,174,378,81,26,56,98,133,577
卢克-朗利,87,1914,46.60%,241,517,0.00%,0,0,71.40%,95,133,372,136,46,73,145,338,577
塞德里克-塞巴洛斯,59,1213,46.60%,225,483,32.50%,26,80,74.30%,101,136,263,62,41,26,66,80,577
查克-珀森,51,1332,44.80%,208,464,39.10%,77,197,73.70%,84,114,184,86,23,12,60,120,577
梅米特-奥库,71,1676,41.50%,207,499,36.20%,55,152,71.30%,107,150,416,78,49,46,75,167,576
唐·切尼,70,1835,45.00%,230,511,0.00%,0,0,77.50%,110,142,250,156,0,0,0,229,570
杰纳-苏,32,1171,42.40%,207,488,0.00%,0,0,84.20%,155,184,133,132,0,0,0,75,569
亨利-毕比,72,1743,39.60%,211,533,0.00%,0,0,76.80%,139,181,176,231,0,0,0,165,566
德马雷-卡罗尔,62,1745,42.60%,204,479,35.30%,79,224,75.20%,79,105,274,70,55,21,52,149,566
维恩-埃布里,56,1347,41.80%,215,514,0.00%,0,0,64.50%,136,211,448,64,0,0,0,206,566
以赛亚-托马斯,25,861,40.60%,176,434,30.20%,52,172,84.20%,160,190,77,158,20,7,78,63,564
德鲁-古登,64,1511,44.90%,228,508,32.40%,12,37,79.30%,96,121,459,45,22,32,78,189,564
卡尔-布劳恩,40,0,35.00%,179,512,0.00%,0,0,81.20%,203,250,0,108,0,0,0,135,561
德安德鲁-乔丹,57,1780,66.20%,202,305,0.00%,0,1,40.40%,154,381,645,47,46,116,80,171,558
杰森-威廉姆斯,67,1733,39.30%,198,504,30.90%,81,262,88.90%,80,90,127,221,51,2,101,109,557
达内尔-格里菲斯,37,1038,43.80%,221,504,37.10%,46,124,71.10%,69,97,141,77,47,11,77,60,557
鲍伯-布泽尔,48,1283,46.70%,213,456,0.00%,0,0,73.90%,130,176,341,58,0,0,0,136,556
姚明,28,988,51.90%,195,376,0.00%,0,0,83.30%,165,198,261,29,9,42,82,105,555
吉姆-帕克森,53,1107,46.30%,212,458,26.70%,8,30,80.80%,122,151,80,100,38,4,56,81,554
马尔钦-戈塔特,86,1787,56.40%,239,424,0.00%,0,0,65.00%,76,117,524,80,28,70,76,179,554
鲍比-温泽尔,38,0,42.50%,171,402,0.00%,0,0,88.00%,212,241,0,134,0,0,0,123,554
斯蒂夫-科尔,128,1997,42.60%,192,451,37.00%,84,227,87.60%,85,97,110,156,63,3,41,142,553
沃利-斯泽比亚克,54,1446,42.70%,190,445,28.50%,37,130,88.20%,135,153,167,77,26,9,82,122,552
道格-克里斯蒂,58,1896,38.20%,179,468,30.20%,45,149,83.20%,149,179,284,219,93,29,116,170,552
马科-贝里内利,65,1374,41.60%,188,452,37.50%,78,208,89.00%,97,109,139,92,22,2,42,98,551
詹姆斯-琼斯,148,1974,40.40%,173,428,38.70%,104,269,84.50%,98,116,231,44,37,37,40,178,548
奥蒂斯-比尔德松,35,1090,48.00%,232,483,0.00%,0,0,58.30%,81,139,104,104,56,5,71,89,546
卢克-杰克逊,56,1692,38.90%,216,555,0.00%,0,0,74.30%,113,152,508,92,0,0,0,186,545
拉加-贝尔,68,1763,49.20%,193,392,46.60%,81,174,74.30%,78,105,174,102,43,7,41,190,545
约纳斯-瓦兰丘纳斯,43,1095,55.70%,220,395,33.30%,2,6,75.00%,102,136,406,29,18,43,73,105,544
基斯-范霍恩,57,1463,38.80%,195,502,39.10%,63,161,79.50%,89,112,293,61,37,18,81,150,542
Danny0Schayes,69,1416,51.80%,189,365,0.00%,0,2,82.30%,163,198,331,76,26,47,98,227,541
格伦-罗宾逊,39,1092,41.60%,207,497,37.90%,33,87,88.50%,92,104,183,79,25,37,77,86,539
科特-托马斯,96,1894,46.30%,224,484,0.00%,0,2,74.80%,86,115,514,64,42,51,94,300,534
达蒙-斯塔德迈尔,53,1496,39.90%,195,489,38.90%,49,126,84.70%,94,111,159,233,32,9,99,120,533
鲍比-杰克逊,58,1261,40.50%,197,486,27.00%,43,159,80.70%,96,119,165,119,43,6,66,101,533
凯文-朗格利,43,1176,37.50%,196,522,0.00%,0,0,75.30%,140,186,107,116,0,0,0,140,532
杰-克劳德,51,1432,38.50%,182,473,32.20%,78,242,74.80%,89,119,271,94,54,15,42,128,531
吉尔波特-阿里纳斯,31,932,41.00%,172,420,30.50%,46,151,76.90%,140,182,107,118,37,11,74,88,530
诺姆-范里尔,38,1549,38.90%,198,509,0.00%,0,0,78.40%,134,171,191,234,0,0,0,154,530
比尔-沃顿,49,1197,52.50%,230,438,0.00%,0,0,67.30%,68,101,444,145,32,83,0,149,528
泰-吉布森,66,1442,51.50%,212,412,0.00%,0,3,70.70%,104,147,311,39,22,68,59,163,528
德隆蒂-韦斯特,58,1685,44.20%,189,428,36.10%,48,133,84.70%,100,118,146,165,58,17,102,122,526
迈克-埃文斯,58,1071,41.40%,201,485,28.40%,44,155,82.50%,80,97,106,160,43,7,97,127,526
米切-库普恰克,68,1215,47.40%,202,426,0.00%,0,0,64.90%,120,185,321,44,13,15,0,164,524
格兰特-希尔,39,1232,46.90%,200,426,23.80%,5,21,78.10%,118,151,238,140,35,19,79,108,523
泰森-钱德勒,75,2196,56.60%,193,341,0.00%,0,0,63.40%,137,216,619,37,43,85,81,291,523
赛迪斯-杨,51,1485,46.80%,223,477,26.80%,11,41,61.90%,65,105,312,82,60,20,66,120,522
蒙塔-艾利斯,38,1137,42.70%,201,471,29.80%,36,121,75.50%,83,110,106,113,56,8,86,90,521
迪克-马克圭尔,63,0,41.00%,179,437,0.00%,0,0,59.30%,163,275,0,350,0,0,0,187,521
马克-奥伯丁,47,1366,46.90%,204,435,0.00%,0,0,77.80%,112,144,255,131,35,20,0,183,521
林奇-亨特,147,2067,30.90%,190,614,26.00%,72,277,81.00%,68,84,197,192,106,18,88,243,520
德尼斯-斯科特,45,1447,39.90%,184,461,36.40%,95,261,77.80%,56,72,129,77,36,9,60,116,519
杰克-尼古拉斯,51,0,38.90%,200,514,0.00%,0,0,73.90%,119,161,0,117,0,0,0,164,519
邦奇-威尔斯,48,1100,45.50%,198,435,27.60%,16,58,66.00%,107,162,214,75,43,11,82,134,519
克里斯-柴尔斯,73,1953,39.80%,180,452,36.50%,54,148,81.60%,102,125,215,319,62,4,150,248,516
比利-鲍尔兹,70,1616,42.60%,215,505,0.00%,0,0,65.90%,85,129,380,106,30,54,0,157,515
菲尔-杰克逊,67,1223,45.80%,200,437,0.00%,0,0,78.20%,115,147,284,63,0,0,0,208,515
布伦特-巴里,88,1731,44.60%,171,383,41.60%,102,245,80.20%,69,86,178,146,46,18,80,157,513
詹姆斯-波西,65,1672,42.10%,152,361,38.70%,89,230,83.10%,118,142,315,65,65,18,51,188,511
鲁迪-汤姆贾诺维奇,37,1041,48.90%,213,436,0.00%,0,0,77.10%,84,109,189,59,11,8,0,78,511
朱-霍勒迪,30,1079,45.30%,193,426,38.70%,48,124,80.60%,75,93,134,165,42,16,65,59,509
盖伊-罗杰斯,46,1557,35.00%,198,565,0.00%,0,0,64.00%,112,175,237,286,0,0,0,176,508
杰伦-布朗,42,1016,48.00%,194,404,37.00%,61,165,64.80%,57,88,165,47,23,14,47,109,506
马里克-罗斯,82,1432,42.70%,176,412,11.10%,1,9,73.90%,153,207,353,54,43,26,96,215,506
鲁西斯-阿伦,43,1160,44.90%,202,450,0.00%,0,0,75.60%,102,135,133,142,0,0,0,100,506
鲍伯-戴维斯,38,0,34.10%,173,508,0.00%,0,0,78.80%,160,203,0,162,0,0,0,124,506
拉夫-阿尔斯通,56,1494,36.50%,181,496,31.10%,75,241,76.40%,68,89,139,171,56,8,76,105,505
迈克尔-皮特鲁斯,69,1496,42.60%,160,376,35.30%,84,238,68.70%,101,147,165,32,46,33,44,186,505
埃尔顿-布兰德,40,1136,51.60%,206,399,0.00%,0,1,71.90%,92,128,252,64,25,63,40,104,504
查理-斯科特,33,1177,39.50%,195,494,0.00%,0,0,77.40%,113,146,141,133,40,12,0,158,503
罗德尼-麦克雷,46,1650,52.70%,197,374,0.00%,0,6,74.10%,109,147,271,206,33,33,87,99,503
约翰-卢卡斯二世,45,1135,45.10%,198,439,0.00%,0,0,74.60%,88,118,96,219,52,6,0,80,502
拉里-凯侬,31,1031,42.90%,218,508,0.00%,0,0,69.90%,65,93,270,82,34,5,0,84,501
布兰登-巴斯,59,1399,47.10%,176,374,0.00%,0,1,89.00%,146,164,262,44,31,26,38,114,498
柯蒂斯-佩里,52,1546,47.00%,213,453,0.00%,0,0,66.10%,72,109,437,75,0,0,0,189,498
克里福德-雷,60,1735,53.80%,207,385,0.00%,0,0,59.00%,82,139,608,125,0,0,0,206,496
科利斯-威廉姆斯,66,1099,43.60%,175,401,0.00%,0,4,78.10%,146,187,173,50,23,11,81,163,496
马克-韦斯特,95,1755,56.60%,201,355,0.00%,0,0,57.70%,94,163,422,36,24,119,81,293,496
乔治-麦克吉尼斯,34,1035,39.50%,187,474,0.00%,0,0,64.00%,121,189,327,118,41,11,0,143,495
克里斯-米德尔顿,26,960,47.30%,178,376,48.60%,67,138,84.70%,72,85,129,95,37,8,51,73,495
特里-蒂格,45,885,45.10%,203,450,0.00%,0,4,78.10%,89,114,98,42,29,10,54,104,495
阿尔提斯-吉尔莫尔,42,1152,56.60%,179,316,0.00%,0,0,68.00%,134,197,336,47,27,71,0,113,492
特伊隆-希尔,74,1873,45.10%,183,406,0.00%,0,4,62.80%,125,199,452,31,39,22,76,260,491
雷吉-杰克逊,38,1153,46.30%,185,400,34.10%,46,135,89.30%,75,84,152,151,19,12,74,105,491
简-文森特,38,971,41.00%,170,415,0.00%,0,2,86.20%,150,174,177,46,24,9,73,107,490
内特-麦克米兰,98,2186,38.10%,184,483,28.90%,37,128,63.20%,84,133,343,505,131,43,139,271,489
兰迪-惠特曼,38,1105,54.00%,225,417,0.00%,0,2,74.00%,37,50,78,115,22,6,42,68,487
斯格特-威廉姆斯,94,1504,48.00%,201,419,0.00%,0,4,63.40%,85,134,434,58,38,74,69,254,487
皮特-马拉维奇,26,756,42.30%,190,449,0.00%,0,0,78.40%,105,134,95,98,0,0,0,74,487
迈克-麦基,68,838,50.20%,201,400,34.40%,21,61,61.20%,63,103,109,55,23,3,54,100,486
里基-格林,55,1275,45.50%,192,422,35.00%,7,20,84.70%,94,111,105,294,50,4,83,71,485
安东尼-约翰逊,100,1569,40.40%,175,433,32.10%,36,112,72.10%,98,136,163,222,52,10,83,155,484
丹尼斯-施罗德,39,849,43.30%,180,416,33.80%,44,130,82.30%,79,96,80,161,23,1,64,83,483
威利-安德森,52,1140,46.40%,198,427,33.30%,14,42,78.50%,73,93,142,127,42,12,81,128,483
克林特-卡佩拉,58,1229,61.90%,200,323,0.00%,0,1,50.90%,82,161,435,53,31,87,36,108,482
特里-罗齐尔,48,1204,39.70%,165,416,34.20%,76,222,80.90%,76,94,193,163,40,14,43,78,482
格雷格-巴拉德,65,1308,43.30%,183,423,0.00%,0,0,79.30%,111,140,326,103,51,16,76,120,481
安德烈-基里连科,55,1493,44.50%,169,380,20.80%,10,48,76.70%,132,172,212,105,65,87,73,133,480
戴夫-宾,31,964,42.30%,191,452,0.00%,0,0,74.80%,95,127,85,133,0,0,0,76,477
沃尔德-B-弗里,34,773,39.80%,166,417,0.00%,0,0,74.00%,145,196,76,103,25,14,0,79,477
Nathaniel0Clifton,53,0,34.80%,170,489,0.00%,0,0,62.40%,136,218,495,142,0,0,0,215,476
艾弗里-布拉德利,39,1245,42.00%,188,448,31.20%,53,170,78.00%,46,59,122,61,46,11,56,86,475
布拉德-米勒,50,1326,47.80%,173,362,25.90%,7,27,74.20%,121,163,309,107,28,30,89,172,474
布莱恩-格兰特,58,1556,46.50%,180,387,0.00%,0,1,65.90%,114,173,412,43,29,45,80,203,474
里德-罗查,39,0,36.00%,165,458,0.00%,0,0,75.80%,144,190,0,58,0,0,0,169,474
吉姆-杰克逊,48,1277,44.70%,169,378,42.00%,58,138,82.80%,77,93,193,67,31,14,56,115,473
杰克-麦克马洪,49,1518,37.80%,191,505,0.00%,0,0,55.80%,91,163,149,203,0,0,0,163,473
维尼·德纳格罗,54,1368,45.40%,193,425,43.10%,31,72,81.20%,56,69,118,151,34,6,47,97,473
克里斯汀-莱特纳,45,1158,43.20%,172,398,17.90%,5,28,79.40%,123,155,212,69,36,21,72,134,472
迈克-邓利维,67,1228,42.80%,174,407,0.00%,0,0,85.60%,89,104,103,194,51,2,0,173,469
斯里谱-弗洛伊德,36,1038,45.70%,171,374,41.40%,29,70,81.40%,96,118,77,219,43,5,92,58,467
约翰-摩尔,41,1084,49.00%,193,394,31.30%,10,32,68.30%,69,101,132,344,70,13,74,121,465
迈克-米勒,94,1543,39.90%,165,414,39.40%,97,246,84.10%,37,44,236,87,42,14,56,158,464
莱罗伊-艾利斯,64,1487,41.30%,175,424,0.00%,0,0,69.30%,113,163,463,44,0,0,0,152,463
韦斯利-马修斯,36,1291,39.30%,151,384,33.20%,62,187,81.80%,99,121,122,51,45,12,56,114,463
斯特西-奥格蒙,77,1471,43.80%,162,370,0.00%,0,3,78.00%,138,177,179,101,56,14,73,141,462
马尔文-韦伯斯特,48,1382,48.50%,177,365,0.00%,0,0,64.70%,108,167,423,68,12,94,0,144,462
霍华德-埃斯利,88,1420,38.40%,162,422,35.50%,44,124,88.60%,93,105,130,233,36,12,105,167,461
杰森-塔特姆,26,916,46.70%,163,349,33.00%,31,94,82.00%,100,122,127,63,33,14,54,67,457
格雷格-安东尼,102,1597,36.20%,154,425,29.40%,57,194,64.30%,90,140,124,234,82,18,94,207,455
马克-伊顿,74,2295,48.90%,180,368,0.00%,0,0,63.90%,94,147,557,52,35,210,81,250,454
奥斯丁-克罗希尔,68,1236,37.90%,130,343,36.00%,41,114,84.40%,152,180,246,49,27,24,63,121,453
盖斯-约翰逊,34,1125,39.70%,177,446,0.00%,0,0,76.00%,98,129,330,76,0,0,0,110,452
考特尼-李,50,1439,45.70%,169,370,34.60%,36,104,89.50%,77,86,103,72,44,8,44,108,451
伊曼-香珀特,76,1756,38.40%,154,401,37.10%,78,210,76.20%,64,84,272,73,60,25,48,162,450
米奇-里奇蒙德,23,836,47.90%,172,359,30.20%,19,63,86.90%,86,99,123,69,22,7,57,64,449
克里斯-莫里斯,69,1142,44.50%,173,389,29.50%,39,132,75.00%,63,84,224,53,46,32,45,115,448
艾尔·比安奇,56,1135,39.10%,184,471,0.00%,0,0,69.60%,80,115,125,101,0,0,0,193,448
沃尔特-杜克斯,35,1161,41.60%,151,363,0.00%,0,0,71.10%,145,204,432,51,0,0,0,168,447
弗莱德·卡特,28,975,41.00%,178,434,0.00%,0,0,68.70%,90,131,123,75,0,0,0,102,446
戈兰-德拉季奇,35,865,44.40%,169,381,34.60%,37,107,74.00%,71,96,111,113,15,4,62,79,446
约翰-戴维斯,43,1070,45.40%,178,392,0.00%,0,0,78.10%,89,114,78,157,39,5,0,80,445
