球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
乔-戈拉伯斯基,40,0,32.80%,157,479,0.00%,0,0,73.50%,75,102,0,73,0,0,0,104,389
克里斯-安德森,73,1253,63.10%,137,217,0.00%,0,2,68.90%,115,167,364,27,26,90,42,158,389
沃尚-莱纳德,31,952,43.10%,131,304,41.90%,65,155,81.30%,61,75,83,58,16,6,51,86,388
西伊-格林,41,1111,43.30%,156,360,0.00%,0,0,61.30%,76,124,222,165,0,0,0,121,388
里基-索伯斯,29,875,45.50%,156,343,0.00%,0,0,83.50%,71,85,79,117,27,8,0,122,387
Chuck0Share,54,1076,43.50%,124,285,0.00%,0,0,65.90%,135,205,352,59,0,0,0,224,383
伍迪-桑德贝里,29,995,35.10%,174,496,0.00%,0,0,56.50%,35,62,259,52,0,0,0,118,383
何塞-巴里亚,48,953,41.70%,153,367,32.00%,32,100,74.60%,44,59,97,174,14,1,59,74,382
科里-布鲁尔,47,936,40.00%,140,350,27.90%,34,122,69.40%,68,98,94,46,35,13,34,113,382
达伦-科里森,40,926,43.60%,139,319,33.30%,21,63,83.50%,81,97,87,133,34,3,51,53,380
丹尼-格兰杰,35,894,41.70%,141,338,35.80%,48,134,84.20%,48,57,141,56,22,13,46,87,378
乔丹-法玛尔,73,1149,38.90%,138,355,35.50%,55,155,79.30%,46,58,108,116,42,9,70,86,377
卢克-沃顿,88,1282,42.00%,145,345,36.00%,32,89,70.10%,54,77,204,151,47,13,86,156,376
厄尔尼-格伦菲尔德,42,944,48.80%,146,299,0.00%,0,0,82.70%,81,98,92,121,43,12,63,89,375
多诺万-米切尔,16,605,38.90%,138,355,29.30%,36,123,82.90%,63,76,90,62,24,5,53,50,375
格兰特-朗,42,1180,41.10%,132,321,20.00%,7,35,75.60%,102,135,243,59,41,10,66,104,373
格雷格-奥斯特塔格,89,1768,46.50%,139,299,0.00%,0,0,57.30%,94,164,482,31,29,165,68,247,372
戈登-海沃德,22,750,41.20%,114,277,37.40%,37,99,95.50%,106,111,109,69,18,5,39,43,371
